"","x"
"1",10
"2",0.0052
"3",3e-04
"4",3e-04
"5",8e-04
"6",0.0038
"7",0.0231
"8",0.1563
"9",1.104
"10",7.7367
"11",0.4165
"12",0.0012
"13",3e-04
"14",4e-04
"15",0.0014
"16",0.0073
"17",0.0467
"18",0.3223
"19",2.2907
"20",14.0588
"21",0.0228
"22",5e-04
"23",3e-04
"24",6e-04
"25",0.0025
"26",0.0144
"27",0.0954
"28",0.669
"29",4.7469
"30",4.5079
"31",0.0031
"32",3e-04
"33",3e-04
"34",9e-04
"35",0.0047
"36",0.0289
"37",0.1969
"38",1.3946
"39",9.6233
"40",0.1475
"41",8e-04
"42",2e-04
"43",4e-04
"44",0.0017
"45",0.0091
"46",0.059
"47",0.4098
"48",2.9138
"49",14.4192
"50",0.0108
"51",4e-04
"52",3e-04
"53",7e-04
"54",0.0031
"55",0.0182
"56",0.1218
"57",0.8574
"58",6.0582
"59",1.4025
"60",0.0019
"61",3e-04
"62",3e-04
"63",0.0011
"64",0.0059
"65",0.037
"66",0.2538
"67",1.8013
"68",11.9876
"69",0.0533
"70",6e-04
"71",2e-04
"72",5e-04
"73",0.0021
"74",0.0116
"75",0.0763
"76",0.5329
"77",3.7875
"78",9.9996
"79",0.0053
"80",3e-04
"81",3e-04
"82",8e-04
"83",0.0039
"84",0.0236
"85",0.1592
"86",1.1247
"87",7.8717
"88",0.3827
"89",0.0012
"90",3e-04
"91",4e-04
"92",0.0014
"93",0.0076
"94",0.0485
"95",0.3349
"96",2.3799
"97",14.2774
"98",0.0202
"99",5e-04
"100",3e-04
"101",6e-04
